FOF_Halo_ID,Subhalo_ID,sigma_0_projecty,sigma_3_projecty,sigma_5_projecty,sigma_10_projecty
2412912,1358970,800.8734493848797,54.18947984427761,52.72466946168274,52.72466946168274
2560083,1434922,3.6226000874104956,2.83486610435965,2.83486610435965,1.2969204220796358
2697771,1510099,1077.3759665188024,1077.3759665188024,1077.3759665188024,9.594739790405942
2825627,1579820,541.3242469350835,100.47955193261195,100.47955193261195,93.66514657241608
2952601,1648682,1490.5492784901173,1490.5492784901173,2.504161339604348,4.721803752325579
3080297,1717913,5.011091414356141,3.6849756526062154,4.270249454529044,6.318045547479293
3196088,1783556,7.276990576934365,5.611962557624534,6.059240535903877,4.585088988346892
3298239,1850099,492.24946436421965,4.898118290041976,2.719534789282716,2.7799271218862467
3407987,1918602,1.2050936061852964,1.3848163766445236,2.818535487405726,5.035787125748259
3533783,1986010,166.41956716006837,167.57105781843083,167.57105781843083,2.5925391556340993
3637925,2044071,1305.5401151706246,1305.5401151706246,1305.5401151706246,1729.7275269948766
3741376,2103793,7.275632582609113,6.023333394336326,5.012080763707527,2.7757831261352255
3846078,2169273,1224.1348631695032,1224.1348631695032,1224.1348631695032,886.9198158579834
3958049,2226258,136.33662139765468,6.395214881585576,4.730878595866472,5.875043021472261
4060554,2284021,1.207460152722684,1.1462370968964644,1.1462370968964644,3.4869964635256263
4164126,2346051,851.6028167946268,1.2798913963241525,1.1447136273865315,1.1447136273865315
4268069,2403409,1.374919507519052,0.9790079865058381,1.374919507519052,2.807514592104358
4365334,2465493,2575.606850705087,2575.606850705087,2575.606850705087,2577.2114474309346
4471204,2526359,1183.6702405330175,1.3090857395143582,4.362754282708493,11.696574550657063
4578137,2586070,164.6206245904466,164.42134158591207,47.19214232685759,49.377294427947994
4679229,2641258,365.6425538799975,365.6425538799975,364.1723670805022,364.1723670805022
4770290,2702220,2497.2560157893745,115.65482018263181,112.84033708647767,117.40683676376108
4863078,2760419,1.1646967003899242,1.0276477612067574,4.696470948271296,18.05957151566841
4963084,2819463,4.0018760106539215,4.0018760106539215,5.547253779928282,7.517873554690306
5055393,2877270,1.2872463904119236,1.1644424385420764,1.1644424385420764,1.0569821335322906
5161003,2937357,1.1537073607858468,1.2203154988727771,2.573431563223614,2.573431563223614
5263968,2996855,3374.2777980114533,3374.2777980114533,3374.2777980114533,3374.5127817234084
5360800,3052457,2.29428566569859,0.8266296962998068,0.8266296962998068,2.29428566569859
5457549,3108044,6.378573525122126,6.378573525122126,2.6874668343292516,1.1982951233153627
5549122,3163885,1274.3900051371697,86.29853719803693,84.66261059955933,77.16171131889197
5641027,3217698,1.1312711312895234,1.0994211767134034,1.2174114393738262,1.2174114393738262
5730502,3278015,986.2841360494344,3.671865696839925,4.265247711037948,9.500681722926904
5815866,3331341,1345.9496884113971,1117.9534210462734,1118.8695291283816,1120.250670516971
5914383,3381764,11.152048249797813,1.3312847978735731,1.5370844206854868,2.906480778592712
6004326,3433975,589.0627071566299,1.1583360651506307,1.1583360651506307,3.4996992035005174
6091342,3493418,1.1905403211519787,1.1905403211519787,1.1905403211519787,1.1905403211519787
6174196,3546529,475.55487813911463,475.55487813911463,475.55487813911463,475.55487813911463
6264728,3600387,7.228734028978712,3.946676417352256,3.946676417352256,2.3407527269471395
6355787,3649939,708.9346642527923,14.169113045354399,18.75281456489635,17.866496622432525
6452837,3697942,832.5427787241529,1.1693148761412064,1.1693148761412064,2.599823900280725
6542554,3749850,1.2302939527344654,4.062128916648026,5.677725287651213,6.207971520024594
6632190,3799247,2.8533343094122596,0.7862328181690775,1.2776905001609198,9.48288582627873
6712233,3848097,1383.1427273077632,163.75473143116096,158.57635290433015,156.19874547336536
6797390,3898909,334.60289488972234,334.60289488972234,11.674433768913492,85.31105259356355
6884970,3948022,686.6424988303947,686.6424988303947,7.90957160670487,9.156854702427236
6975114,3995377,374.89057571134344,39.275514496784254,38.358936311952846,30.738847841153607
7050334,4045388,1345.6802297704037,4.8200920771089795,4.8200920771089795,8.520194711116492
7123262,4091803,511.0709713528563,2.689290929009901,89.04517450091444,88.48983290183035
7200224,4139048,1118.7199235895712,1.0950743528104976,2.516599543781537,54.047359784161934
7284734,4187566,470.27522044841044,358.11175978283967,355.8392006275093,320.39353070745915
7372060,4234683,157.42902087155986,3.0527480020016604,4.575204303947658,9.640997386935519
7470527,4285372,1019.4692751061577,1019.4692751061577,1019.4692751061577,12.672421541915131
7554890,4327624,1729.7885916205112,1729.611707181343,1729.611707181343,1713.160291947533
7626151,4371662,977.3241236999689,978.8327945354006,978.8327945354006,17.600140809844177
7700771,4421012,157.64243548348958,98.84115100510915,98.84168176438945,102.31935618334873
7785562,4469972,912.3263213411999,1.245370408648548,1.1133779516251372,1.3048609967684568
7869050,4516949,168.29856551887522,1.0667941554436489,1.0667941554436489,0.9776131256830624
7944628,4560263,796.8337799998669,395.06128594474575,35.27010012703784,26.004607192310612
8026188,4604862,1335.3461715266546,1.6729941772844181,1.5493091033858684,3.848545161690477
8100641,4654460,873.6395441069735,873.6395441069735,873.6395441069735,873.6395441069735
8179091,4697952,2.687238627273042,1.1601237368986863,1.1601237368986863,5.897563844109874
8260765,4742470,1236.067070347975,1236.067070347975,1236.067070347975,134.4562326426247
8339028,4787459,1108.0084863730583,1.2037809308174081,1.2037809308174081,4.810124629223534
8410513,4833292,937.1092514515875,1.3290722265869233,1.0072122498843983,4.628076629648372
8488420,4879477,1171.351671267748,1171.351671267748,1.0653082123919138,3.4070160269172733
8561921,4924625,1.061751389296131,1.061751389296131,1.061751389296131,1.061751389296131
8644038,4968444,348.2304627503342,348.0000217889679,376.33619452789213,367.66239628340685
8732471,5008673,1.2234644986422922,1.2328632972303513,2.652872242783711,3.4666666222917106
8806600,5047444,5.874374867687192,1.1612859074517483,1.1612859074517483,1.1612859074517483
8878897,5089679,1719.2807376509813,1718.5766544261223,1718.5766544261223,1717.107364842318
8954746,5128657,7.340260231364494,9.244952872018876,5.674110500377619,4.690183437393646
9035624,5166907,681.7506416259076,1.4873171057180044,1.2234130499007334,1.2234130499007334
9111731,5206333,1238.456380987924,0.6288308014098761,2.277204149661468,7.247379291932916
9187604,5251152,469.7484055891781,469.5615964940417,4.177876299652694,10.96258371509918
9262342,5293336,2.507530668701155,2.503361127305331,2.6773638693299424,4.295484267319726
9336845,5334901,97.33915552245608,1.1672987874267056,2.710990911161208,8.294181235458364
9406210,5374472,172.63360322779906,1.163774723302794,1.163774723302794,140.94940796378893
