Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
135,12169414,6740981,12279581,"[628597.625, 172073.34375, 189085.765625]",1339.4183349609375,836.0838623046875
136,12224103,6773225,12333242,"[483820.6875, 40583.7421875, 141069.828125]",1444.5008544921875,830.871826171875
137,12274768,6802482,12382820,"[242013.140625, 583882.875, 162912.90625]",1416.0516357421875,933.8585205078125
138,12334208,6834695,12445015,"[153689.609375, 262136.046875, 558520.125]",1474.0592041015625,989.4971923828125
139,12381782,6861514,12495896,"[396000.03125, 328990.65625, 304467.5625]",1419.555419921875,912.1126708984375
140,12432056,6892494,12544976,"[60346.36328125, 528969.875, 217598.796875]",1209.88671875,730.0836181640625
141,12485362,6924100,12599324,"[559433.0625, 554221.5625, 17012.177734375]",1181.2618408203125,757.2993774414062
142,12534413,6956653,12650964,"[269778.0, 606914.75, 553989.25]",1213.3660888671875,799.6649780273438
143,12582631,6987543,12700280,"[15049.681640625, 639619.1875, 141461.578125]",1210.5009765625,819.9781494140625
144,12632860,7018537,12754112,"[151581.78125, 169486.828125, 501740.9375]",1273.321533203125,811.1132202148438
145,12698185,7047442,12821141,"[294155.375, 544346.0625, 29990.658203125]",1235.91162109375,703.9945068359375
146,12755885,7073907,12880699,"[381201.3125, 487994.90625, 249545.109375]",1339.2396240234375,815.3765258789062
147,12816749,7102615,12938701,"[634985.8125, 649931.75, 157963.390625]",1280.656005859375,865.2797241210938
148,12871237,7130553,12993069,"[192525.9375, 475062.21875, 266078.78125]",1319.16650390625,876.8107299804688
149,12925049,7160513,13050500,"[26760.5, 670850.6875, 18910.72265625]",1351.2227783203125,872.2957763671875
150,12981983,7186852,13106543,"[347941.40625, 619487.8125, 308063.0]",1026.7086181640625,663.8656616210938
151,13035077,7217587,13160994,"[613489.8125, 360492.8125, 633777.375]",1408.2357177734375,963.3369750976562
152,13083432,7246889,13211199,"[611203.8125, 263922.6875, 28932.8203125]",1219.595947265625,791.1038818359375
153,13133868,7280431,13262756,"[327059.59375, 29166.7421875, 622656.75]",1327.7373046875,865.651123046875
154,13176044,7311555,13306380,"[493863.5625, 440740.0625, 250821.9375]",1057.7357177734375,651.525634765625
155,13231280,7342190,13360856,"[281333.3125, 583561.75, 178309.75]",1377.3153076171875,874.2496948242188
156,13291544,7367692,13419693,"[39707.6015625, 436187.09375, 627.335693359375]",1329.69921875,845.2000732421875
157,13341116,7397184,13468076,"[584322.0625, 100418.109375, 37310.10546875]",1346.078857421875,852.1448974609375
158,13388143,7426870,13513720,"[55767.46484375, 31086.232421875, 333499.90625]",1340.239990234375,901.34716796875
159,13432142,7454329,13560154,"[529648.5625, 189255.953125, 274418.5]",1383.251953125,924.8822631835938
160,13479426,7483905,13607650,"[531606.875, 124752.796875, 573839.625]",1197.689697265625,771.7293701171875
161,13532711,7511638,13661399,"[389522.125, 236068.03125, 203833.75]",1220.9261474609375,823.1251220703125
162,13581051,7540846,13711389,"[356350.0, 642941.625, 334921.9375]",1346.0159912109375,899.2134399414062
163,13634459,7567764,13766630,"[558503.875, 611834.25, 104984.7578125]",1355.0621337890625,866.2874145507812
164,13686751,7593849,13817908,"[116529.546875, 153033.078125, 431994.28125]",1243.970458984375,792.0782470703125
165,13737849,7621754,13868528,"[620204.5625, 397556.53125, 69127.765625]",946.3025512695312,588.605224609375
166,13792287,7649557,13920501,"[70778.203125, 126971.5625, 467715.1875]",1268.09228515625,834.5211791992188
167,13845328,7676847,13973193,"[362818.5, 506047.25, 533725.3125]",1319.3045654296875,878.5712890625
168,13886810,7701637,14014721,"[518442.03125, 164127.8125, 249202.3125]",1310.7457275390625,900.611083984375
169,13927129,7727169,14056917,"[312675.71875, 486506.0, 128820.25]",1268.857666015625,796.961669921875
170,13988217,7756271,14115970,"[385333.40625, 207877.453125, 117052.8984375]",1269.6048583984375,830.921630859375
171,14038844,7781460,14166106,"[547122.125, 59562.21484375, 656950.3125]",1334.8330078125,891.0409545898438
172,14084296,7808516,14210522,"[356413.21875, 158138.140625, 401661.78125]",1292.9866943359375,833.869384765625
173,14128437,7835811,14253638,"[293979.15625, 232825.796875, 95534.0]",1380.6688232421875,940.96875
174,14179019,7862973,14304090,"[587528.4375, 354055.78125, 676335.375]",1232.4241943359375,766.5991821289062
175,14219518,7887536,14345085,"[111264.3203125, 148269.609375, 527359.625]",1363.7421875,790.7178344726562
176,14258311,7913633,14384652,"[47083.9296875, 170861.25, 632618.375]",1400.7706298828125,936.7118530273438
177,14300805,7940273,14425247,"[421652.1875, 240791.8125, 4218.43994140625]",1291.134033203125,841.3405151367188
178,14346919,7964655,14472069,"[294344.34375, 104206.0234375, 592288.75]",1319.9390869140625,800.6152954101562
179,14397702,7994110,14521338,"[42404.42578125, 141510.453125, 133193.34375]",1353.1065673828125,877.7266845703125
180,14441698,8019419,14565774,"[291133.78125, 241711.953125, 289030.59375]",1323.07861328125,858.271728515625
181,14486018,8043029,14609015,"[191657.640625, 67753.9609375, 374287.0625]",1116.481201171875,687.7875366210938
182,14528100,8067801,14652933,"[141700.234375, 190694.203125, 476749.34375]",1342.1676025390625,914.2085571289062
183,14579813,8090273,14701636,"[128853.2734375, 551492.75, 325482.21875]",1304.8101806640625,857.5949096679688
184,14623683,8115207,14746534,"[373032.03125, 505874.59375, 641772.875]",1195.8817138671875,808.3489379882812
185,14664682,8142451,14789910,"[176681.3125, 34106.55078125, 329631.4375]",1291.3037109375,808.80126953125
186,14718371,8166483,14840014,"[11018.0791015625, 337724.34375, 15608.86328125]",1323.620849609375,863.1280517578125
187,14760358,8192025,14880732,"[22928.099609375, 9024.06640625, 407144.4375]",1320.234619140625,896.228759765625
188,14814156,8214676,14934474,"[149408.53125, 641267.4375, 347804.125]",1177.747802734375,727.0381469726562
189,14859514,8237774,14978593,"[531547.0625, 372026.84375, 646953.125]",1299.119384765625,874.3265380859375
190,14900038,8260504,15016702,"[478536.34375, 315612.4375, 105256.546875]",1316.594970703125,879.4547729492188
191,14940417,8286293,15058690,"[192193.125, 548512.875, 560374.8125]",1287.27294921875,812.8232421875
192,14985016,8311198,15104306,"[297809.1875, 258663.328125, 190560.1875]",1066.4029541015625,691.93994140625
193,15031462,8334832,15148180,"[187731.609375, 618062.5, 210282.578125]",1290.81103515625,819.9432373046875
194,15087132,8356227,15199093,"[268146.03125, 514260.9375, 647011.25]",1052.926513671875,705.2188110351562
195,15125179,8382895,15239879,"[560907.6875, 597127.4375, 337166.3125]",1263.1536865234375,821.8819580078125
196,15172951,8407441,15287496,"[183242.390625, 594660.8125, 184542.8125]",1303.2916259765625,832.760498046875
197,15214679,8430926,15328344,"[452948.9375, 616592.4375, 402948.0625]",1299.703125,820.1652221679688
198,15264704,8455605,15373841,"[164255.359375, 292411.40625, 675969.4375]",1030.51123046875,651.2954711914062
199,15304907,8478990,15415762,"[645466.0, 549261.6875, 153113.46875]",1052.1717529296875,686.4603881835938
200,15348580,8503882,15460124,"[369601.3125, 85336.90625, 521226.875]",1226.28173828125,803.2112426757812
201,15386285,8526845,15498791,"[545150.625, 116436.8203125, 123587.7734375]",1260.2210693359375,814.9603271484375
202,15428207,8549450,15540879,"[57490.90625, 537800.6875, 674059.625]",1276.55322265625,840.3392944335938
203,15465516,8575012,15579962,"[629431.375, 362235.8125, 95247.921875]",1306.098876953125,858.8426513671875
204,15500142,8598093,15614686,"[117628.2421875, 487689.8125, 643924.375]",1278.065185546875,835.5732421875
205,15543062,8619561,15656860,"[99495.4296875, 48246.88671875, 442865.21875]",1283.3948974609375,849.187255859375
206,15586138,8642988,15699784,"[244171.9375, 124757.3359375, 172630.125]",979.5309448242188,631.1819458007812
207,15620242,8666685,15736657,"[265102.71875, 401422.03125, 624167.75]",1287.099609375,814.7545776367188
208,15668851,8691763,15780987,"[236973.96875, 630152.6875, 349656.9375]",1210.86376953125,800.9385986328125
209,15708936,8714347,15821715,"[284894.875, 644949.125, 144162.125]",1209.192138671875,829.2550659179688
210,15746111,8736572,15860127,"[648220.5, 341188.28125, 268239.03125]",1265.5394287109375,805.9326782226562
211,15789938,8760894,15904553,"[80185.1171875, 646591.0, 526117.8125]",1264.343505859375,808.1434326171875
212,15834634,8785174,15949208,"[610029.125, 453476.53125, 51275.25]",1281.197021484375,824.3871459960938
213,15876167,8808766,15988579,"[367173.4375, 348104.09375, 450019.46875]",1253.6265869140625,791.674072265625
214,15916351,8828472,16027330,"[324594.15625, 124084.0234375, 642952.4375]",1167.04345703125,722.8630981445312
215,15955034,8853977,16067477,"[578883.875, 483342.65625, 519801.09375]",1186.17578125,753.0904541015625
216,15989514,8878591,16102700,"[192905.03125, 197362.140625, 464222.875]",1182.4322509765625,769.6235961914062
217,16033074,8898680,16146165,"[556648.4375, 77507.6328125, 501712.78125]",1245.4893798828125,792.9261474609375
218,16065958,8920223,16180507,"[601387.5625, 385373.125, 642868.375]",1201.186279296875,780.3901977539062
219,16103108,8942200,16218484,"[415541.65625, 234090.59375, 640229.0625]",1176.9576416015625,730.4893188476562
