Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
156,13291544,7759148,13532574,"[39976.03515625, 436775.84375, 1158.8603515625]",1471.200927734375,926.4458618164062
157,13341116,7789873,13580395,"[584588.375, 100599.2265625, 37704.51171875]",1315.5755615234375,882.4755249023438
158,13388143,7821379,13626852,"[55662.359375, 31167.59375, 333355.0]",1409.9967041015625,941.1863403320312
159,13432142,7849977,13673079,"[529547.5, 189438.234375, 274347.09375]",1381.3096923828125,914.647705078125
160,13479426,7880893,13721716,"[531698.5, 124760.125, 574511.0625]",1208.712646484375,757.0748291015625
161,13532711,7909976,13776535,"[389975.6875, 236337.671875, 203990.5]",1269.619384765625,845.9255981445312
162,13581051,7940482,13826982,"[356290.4375, 642921.1875, 334917.6875]",1427.9010009765625,946.6286010742188
163,13634459,7968500,13879750,"[558103.0625, 611765.25, 104924.7578125]",1360.7432861328125,848.7044067382812
164,13686751,7996331,13931118,"[116699.40625, 153107.703125, 431469.1875]",1334.888671875,873.955078125
165,13737849,8025746,13983997,"[620409.4375, 397477.09375, 69342.0]",1020.1537475585938,635.8838500976562
166,13792287,8055180,14034933,"[70178.625, 127124.515625, 467359.1875]",1092.786376953125,620.1812744140625
167,13845328,8084217,14088498,"[363138.03125, 506022.8125, 533636.625]",1428.225341796875,940.0675048828125
168,13886810,8109923,14130316,"[518732.90625, 163877.84375, 249520.46875]",1240.1617431640625,806.5857543945312
169,13927129,8136845,14174744,"[312193.375, 487066.40625, 128665.7109375]",1263.2860107421875,826.0986328125
170,13988217,8167562,14233330,"[384870.6875, 207641.890625, 117176.703125]",1259.3614501953125,738.9609985351562
171,14038844,8194454,14287597,"[546750.1875, 59295.03125, 657123.875]",1270.3909912109375,778.906494140625
172,14084296,8223024,14335799,"[356600.90625, 158300.34375, 401377.21875]",1375.6102294921875,923.440185546875
173,14128437,8251771,14378078,"[293764.96875, 232548.6875, 94876.1015625]",1334.9398193359375,872.14501953125
174,14179019,8280408,14429550,"[587374.3125, 354121.03125, 676434.125]",1283.10205078125,853.9509887695312
175,14219518,8306408,14474652,"[110140.8125, 149076.703125, 528251.6875]",998.84033203125,563.20849609375
176,14258311,8333763,14519541,"[46073.37109375, 170584.359375, 632901.1875]",1374.4620361328125,882.492431640625
177,14300805,8362473,14561807,"[421727.8125, 240665.953125, 4332.69775390625]",1345.073974609375,893.7177734375
178,14346919,8388248,14608858,"[294602.6875, 103946.078125, 592523.3125]",1432.791748046875,982.9727172851562
179,14397702,8418955,14656307,"[42781.8359375, 141298.90625, 132853.59375]",1327.61376953125,867.2714233398438
180,14441698,8445478,14702020,"[290862.28125, 241723.0625, 289005.625]",1359.3533935546875,869.3961181640625
181,14486018,8470586,14745621,"[191416.21875, 67942.0703125, 374551.53125]",1100.5233154296875,737.9765014648438
182,14528100,8496867,14792227,"[141470.171875, 191895.671875, 476774.1875]",1205.176025390625,807.3204345703125
183,14579813,8520731,14840507,"[128502.015625, 550846.5625, 325577.875]",1238.6099853515625,778.3397216796875
184,14623683,8547162,14887593,"[373355.0, 506124.46875, 641523.3125]",1201.6273193359375,806.7284545898438
185,14664682,8575306,14931303,"[176036.171875, 34635.30078125, 329641.09375]",1322.01513671875,830.1846923828125
186,14718371,8600493,14980356,"[11420.4833984375, 337871.25, 16244.4228515625]",1429.8851318359375,975.8203735351562
187,14760358,8627300,15020206,"[22553.708984375, 8392.779296875, 406705.375]",1168.68115234375,746.3876953125
